team;Nombre_matchs;Nombre_victoires;Somme_cotes_si_victoires;Somme_cotes_si_victoires_retire_marge;Somme_cotes_toutes;Somme_cotes_toutes_retire_marge;ROI_pourcent;ROI_pourcent_retire_marge;Indice_de_retour;Indice_de_retour_retire_marge;Cote_moyenne_tous_matchs;Cote_moyenne_tous_matchs_retire_marge;Taux_de_victoire;Marge_bookmaker_assumee_%
Lorient;224;62;223.25;236.645;961.32;1018.9992000000001;-0.33482142857142855;5.64508928571429;0.9966517857142857;1.056450892857143;4.291607142857143;4.549103571428572;0.2767857142857143;6.0
Le Havre;68;17;67.7;71.762;336.28;356.4568;-0.4411764705882311;5.532352941176471;0.9955882352941177;1.0553235294117647;4.945294117647059;5.242011764705882;0.25;6.0
Lyon;361;184;358.4;379.904;805.08;853.3848;-0.7202216066482058;5.236565096952908;0.9927977839335179;1.0523656509695292;2.230138504155125;2.363946814404432;0.5096952908587258;6.0
Bastia;75;21;73.25;77.64500000000001;415.76;440.7056;-2.3333333333333335;3.52666666666668;0.9766666666666667;1.0352666666666668;5.543466666666666;5.876074666666667;0.28;6.0
Strasbourg;285;94;276.38;292.9628;1065.41;1129.3346000000001;-3.0245614035087733;2.7939649122807073;0.9697543859649123;1.027939649122807;3.738280701754386;3.9625775438596498;0.3298245614035088;6.0
Caen;152;43;145.32;154.0392;684.94;726.0364000000001;-4.394736842105268;1.341578947368417;0.9560526315789474;1.0134157894736842;4.506184210526317;4.776555263157896;0.28289473684210525;6.0
Nantes;362;112;340.94;361.3964;1403.27;1487.4662;-5.817679558011051;-0.1667403314917049;0.9418232044198895;0.9983325966850829;3.876436464088398;4.109022651933702;0.30939226519337015;6.0
Marseille;360;173;338.4;358.704;865.25;917.1650000000001;-6.000000000000006;-0.3599999999999979;0.94;0.9964000000000001;2.4034722222222222;2.547680555555556;0.48055555555555557;6.0
Montpellier;362;116;338.15;358.439;1390.26;1473.6756;-6.588397790055255;-0.9837016574585575;0.9341160220994474;0.9901629834254144;3.840497237569061;4.0709270718232045;0.32044198895027626;6.0
Auxerre;72;19;67.24;71.2744;334.68;354.7608;-6.611111111111118;-1.0077777777777777;0.9338888888888888;0.9899222222222223;4.648333333333333;4.927233333333334;0.2638888888888889;6.0
Angers;328;92;295.85;313.601;1497.55;1587.403;-9.801829268292677;-4.3899390243902445;0.9019817073170733;0.9561006097560976;4.565701219512195;4.8396432926829265;0.2804878048780488;6.0
